,CO2,Aktive,Distanz,timestamp,Teamplatzierung
0,"0,0",0,0,1598994000.0,715
0,"0,0",0,0,1598994900.0,715
0,"0,0",0,0,1598995800.0,727
0,"0,0",0,0,1598996700.0,727
0,"0,0",0,0,1598997600.0,727
0,"0,0",0,0,1598998500.0,727
0,"0,0",0,0,1598999400.0,727
0,"0,0",0,0,1599000300.0,727
0,"0,0",0,0,1599001200.0,727
0,"0,0",0,0,1599002100.0,727
0,"0,0",0,0,1599003000.0,731
0,"0,0",0,0,1599003900.0,731
0,"0,0",0,0,1599004800.0,731
0,"0,0",0,0,1599005700.0,731
0,"0,0",0,0,1599006600.0,731
0,"0,0",0,0,1599007500.0,731
0,"0,0",0,0,1599008400.0,731
0,"0,0",0,0,1599009300.0,731
0,"0,5",1,3,1599010200.0,8
0,"0,5",1,3,1599011100.0,8
0,"0,5",1,3,1599012000.0,8
0,"0,5",1,3,1599012900.0,8
0,"0,5",1,3,1599013800.0,8
0,"0,5",1,3,1599014700.0,8
0,"0,5",1,3,1599015600.0,8
0,"0,5",1,3,1599016500.0,8
0,"0,5",1,3,1599017400.0,9
0,"0,5",1,3,1599018300.0,9
0,"0,5",1,3,1599019200.0,9
0,"0,5",1,3,1599020100.0,9
0,"0,5",1,3,1599021000.0,9
0,"0,5",1,3,1599021900.0,9
0,"0,5",1,3,1599022800.0,9
0,"0,5",1,3,1599023700.0,9
0,"0,5",1,3,1599024600.0,55
0,"0,5",1,3,1599025500.0,55
0,"0,5",1,3,1599026400.0,55
0,"0,5",1,3,1599027300.0,55
0,"0,5",1,3,1599028200.0,55
0,"0,5",1,3,1599029100.0,55
0,"0,5",1,3,1599030000.0,55
0,"0,5",1,3,1599030900.0,55
0,"3,0",4,20,1599031800.0,106
0,"3,0",4,20,1599032700.0,106
0,"3,0",4,20,1599033600.0,106
0,"3,0",4,20,1599034500.0,106
0,"3,0",4,20,1599035400.0,106
0,"3,0",4,20,1599036300.0,106
0,"3,0",4,20,1599037200.0,106
0,"3,0",4,20,1599038100.0,106
0,"12,6",10,86,1599039120.0,31
0,"12,6",10,86,1599039900.0,31
0,"12,6",10,86,1599040860.0,31
0,"12,6",10,86,1599041700.0,31
0,"12,6",10,86,1599042600.0,31
0,"12,6",10,86,1599043500.0,31
0,"12,6",10,86,1599044400.0,31
0,"12,6",10,86,1599045300.0,31
0,"19,9",13,135,1599046200.0,25
0,"19,9",13,135,1599047100.0,25
0,"19,9",13,135,1599048000.0,25
0,"19,9",13,135,1599048900.0,25
0,"19,9",13,135,1599049800.0,25
0,"19,9",13,135,1599050700.0,25
0,"19,9",13,135,1599051600.0,25
0,"19,9",13,135,1599052500.0,25
0,"20,7",13,141,1599053400.0,28
0,"20,7",13,141,1599054540.0,28
0,"20,7",13,141,1599055380.0,28
0,"20,7",13,141,1599056100.0,28
0,"20,7",13,141,1599057060.0,28
0,"20,7",13,141,1599057900.0,28
0,"20,7",13,141,1599058800.0,28
0,"20,7",13,141,1599059820.0,28
0,"48,6",22,331,1599060600.0,11
0,"48,6",22,331,1599061980.0,11
0,"48,6",22,331,1599062400.0,11
0,"48,6",22,331,1599063300.0,11
0,"48,6",22,331,1599064200.0,11
0,"48,6",22,331,1599065100.0,11
0,"48,6",22,331,1599066000.0,11
0,"48,6",22,331,1599066960.0,11
